#{"t_start": 1697847877.980319, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-345.033609,96,0.0495
-155.193654,75,0.078367
-290.50927,62,1.012855
-206.266895,77,1.783617
-424.569494,58,2.638446
-327.397765,90,3.267012
-90.957061,133,4.315566
-248.271605,126,5.760155
5.691959,106,7.113722
-527.516261,160,8.250122
-137.694323,192,9.965151
-224.438359,648,12.26301
-53.822711,175,18.997976
-23.178931,279,20.88893
-95.75907,461,23.937853
-102.599786,475,28.908665
-172.705775,724,34.138475
-257.678201,321,41.698181
-298.12363,217,45.112532
-148.948785,246,47.440481
-282.376994,219,50.030922
-263.282581,292,52.36812
-270.33124,170,55.508337
40.461272,282,57.361611
212.757128,407,60.393077
-263.862399,222,64.760026
-294.097339,342,67.216569
-272.56051,382,70.933993
-174.008193,210,75.17973
-149.9245,172,77.555811
128.08945,689,79.613854
-86.269176,306,86.908455
133.878827,578,90.30007
80.553404,1000,96.612311
-80.875919,300,107.060262
-91.807404,274,110.277896
-228.290442,271,113.195434
-323.065814,218,116.099938
-29.263372,1000,118.68436
2.743666,1000,129.390152
-498.598499,676,139.822203
-75.308399,1000,147.037044
-77.429777,1000,157.606703
141.79026,544,167.973613
-64.082013,609,173.876035
-115.63506,868,180.707098
-155.205372,210,190.826804
-109.095985,209,193.391424
9.412274,297,195.837405
206.76638,548,199.264941
176.131622,491,205.395382
-64.75019,67,210.757977
-34.254917,302,211.574147
-8.913364,167,214.952186
-53.70114,139,216.811083
59.117715,1000,218.748713
-109.358849,479,229.804611
-124.976185,131,235.012895
-129.296369,318,236.575662
119.826424,571,240.197941
-203.306713,286,246.545362
-247.359647,241,249.750201
-252.968973,224,252.548481
159.648818,332,255.106614
-271.862795,136,258.791022
-195.229305,252,260.356294
-294.15211,263,263.170279
-268.425834,745,266.264348
-241.607752,161,274.452285
-310.059165,300,276.305543
-163.461898,240,279.641184
-259.362463,557,282.42069
-136.222372,298,288.509928
-142.135917,471,291.871051
-74.842747,1000,297.281734
-14.834921,249,308.280451
2.389436,147,311.016705
-15.808392,232,312.683887
-57.185039,143,315.214935
-85.748036,245,316.835657
-35.745881,128,319.559491
124.499645,647,321.139825
-60.316815,128,328.209807
-33.241001,163,329.636944
-38.757311,68,331.403049
-128.963175,1000,332.476656
-106.620548,510,343.433301
-4.33739,227,348.974488
-0.634747,219,351.500179
-163.810762,926,354.167568
-43.085543,529,364.325188
-77.172018,192,370.12728
-77.983542,207,372.297663
-17.213721,242,374.626146
-97.66849,269,377.35675
153.106311,740,380.590723
-109.792029,1000,389.057143
-2.840003,362,399.973742
5.98831,121,403.904305
28.708151,1000,405.553985
-118.931855,428,416.451474
-76.992156,131,421.120409
-216.93267,652,422.784109
-171.156705,863,430.155536
-108.24946,1000,439.781066
-20.222081,1000,450.8987
-138.11244,1000,462.019582
-128.932059,1000,473.723023
-136.419953,902,485.780115
-125.853516,1000,496.481398
-99.064445,1000,507.73488
-106.717395,158,518.789631
-25.717172,229,520.566668
-101.936994,1000,523.385141
-173.494428,681,534.411509
25.764364,111,541.790107
-46.818168,1000,543.337915
-82.096609,754,554.373248
-47.191287,1000,562.855331
-73.765453,736,573.94643
14.089391,1000,582.224246
-37.561,59,593.020984
-225.361872,784,593.940881
-278.906954,187,602.44057
-95.466617,238,604.522041
-173.565715,264,607.187354
-48.706048,181,610.12166
-49.437664,178,612.159995
-191.528623,241,614.133132
-54.691225,144,616.796334
233.726565,393,618.492486
-106.888476,280,622.836239
-49.202466,322,625.936076
134.777745,1000,629.749581
-76.714826,222,640.670147
-77.941854,291,643.187631
59.465642,1000,646.67947
198.98435,428,657.68274
-2.981587,242,662.419257
-113.740165,229,665.114938
-70.647178,163,667.626623
-53.761452,135,669.414332
-119.181717,251,670.982493
-312.292708,297,673.803186
-43.395951,420,677.146211
-30.604712,336,681.802852
-50.011128,284,685.529718
3.541398,268,688.727261
-225.20309,199,691.672183
4.590952,1000,694.16382
-0.296623,182,705.020133
-54.409172,147,707.014037
-89.715723,1000,709.031528
182.893784,468,719.941443
-150.111428,1000,725.331598
95.500047,1000,736.451078
39.225467,95,747.25569
-309.35064,395,748.41459
-127.162668,452,752.814728
-10.533963,1000,758.048577
-316.637937,724,769.095068
24.221861,1000,777.193963
-41.502499,1000,788.318165
195.06116,794,799.689486
-447.125031,801,808.949966
-18.419994,283,817.947753
192.837239,710,821.284951
-65.220915,1000,829.32746
4.313332,1000,840.54877
66.702193,1000,851.731277
-30.954675,1000,862.911246
-42.611588,1000,874.267612
-22.253923,195,885.40095
-9.238841,1000,887.891081
-44.722111,1000,899.068147
35.819389,1000,910.28106
-62.523737,1000,921.465261
17.700551,82,932.207128
154.0911,973,933.455346
-2.90968,1000,944.239443
152.330276,707,955.352293
-81.640867,1000,963.377788
-50.290871,1000,974.479792
-11.908588,492,985.382291
48.869171,1000,991.063771
106.419032,1000,1002.757835
2.679863,319,1013.537129
241.839953,201,1017.347257
55.203742,1000,1019.903846
-1.560117,1000,1031.550741
-23.10615,172,1042.869641
215.143369,274,1044.890627
178.242391,719,1048.193619
4.03839,1000,1056.730725
-33.797864,151,1068.167725
222.316986,668,1070.208625
6.996554,1000,1078.623926
-42.782342,227,1090.599028
-29.102147,1000,1093.660329
-7.948664,104,1105.39299
262.845896,223,1106.673343
-29.231886,298,1109.305158
-19.67886,1000,1113.398771
